protocol,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,0.84,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7311,3414,0.6816783216783217,0.31832167832167835,0.9722336205717412,0.9806138933764136,0.9550031466331026,0.9676390881555874,0.27270064440538955
standard,10725,0.85,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7149,3576,0.6665734265734266,0.33342657342657345,0.9737026157504546,0.9815485996705107,0.9575699132111861,0.9694109990237553,0.2645413870246085
standard,10725,0.86,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6977,3748,0.6505361305361306,0.3494638694638695,0.9752042425111079,0.9820824881676808,0.9603305785123967,0.9710847400969413,0.2564034151547492
standard,10725,0.87,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6798,3927,0.6338461538461538,0.36615384615384616,0.9771991762283024,0.9836692147324531,0.9632528070772371,0.9733539625236376,0.24929971988795518
standard,10725,0.88,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6603,4122,0.6156643356643356,0.38433566433566435,0.9794033015296078,0.985362370581935,0.9667250437828371,0.9759547383309759,0.24211547792333818
standard,10725,0.89,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6395,4330,0.5962703962703962,0.4037296037296037,0.9809225957779515,0.986382039013618,0.969258589511754,0.977745348412988,0.23371824480369516
standard,10725,0.9,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6132,4593,0.5717482517482517,0.4282517482517483,0.9836921069797782,0.9881679389312977,0.9740406320541761,0.9810534293292914,0.2251251905072937
standard,10725,0.91,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5860,4865,0.5463869463869464,0.4536130536130536,0.985494880546075,0.9888223552894212,0.9775059194948698,0.9831315737249454,0.2156217882836588
standard,10725,0.92,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5535,5190,0.5160839160839161,0.48391608391608393,0.9862691960252936,0.9887123745819398,0.97970173985087,0.9841864336246359,0.20385356454720616
standard,10725,0.93,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5168,5557,0.48186480186480185,0.5181351981351981,0.9874226006191951,0.9894412670479542,0.9820960698689957,0.9857549857549858,0.19236998380421091
standard,10725,0.94,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4807,5918,0.4482051282051282,0.5517948717948717,0.9891824422716872,0.9897435897435898,0.986065954482118,0.9879013494648674,0.1828320378506252
standard,10725,0.95,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,4376,6349,0.408018648018648,0.5919813519813519,0.9901736745886655,0.9895833333333334,0.9890927119484383,0.9893379618150261,0.17183808473775397
standard,10725,0.96,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,3937,6788,0.3670862470862471,0.632913752913753,0.9931419862839725,0.9919354838709677,0.9935379644588045,0.9927360774818402,0.1630819092516205
standard,10725,0.97,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,3407,7318,0.31766899766899764,0.6823310023310023,0.9932491928382742,0.9916117435590174,0.9945913461538461,0.993099309930993,0.15181743645804865
standard,10725,0.98,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2740,7985,0.25547785547785545,0.7445221445221445,0.9934306569343065,0.9915907498248073,0.995777621393385,0.9936797752808989,0.13976205385097057
standard,10725,0.99,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2012,8713,0.1875990675990676,0.8124009324009324,0.9945328031809145,0.9910554561717353,0.9990982867448152,0.9950606196677144,0.12888786870193963
unseen,6874,0.5,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6874,0,1.0,0.0,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,
unseen,6874,0.51,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6844,30,0.9956357288332849,0.0043642711667151585,0.9041496201052016,0.891846921797005,0.8900697442710063,0.8909574468085106,0.36666666666666664
unseen,6874,0.52,0.9029677043933663,0.890987408880053,0.8883382887347209,0.8896608767576509,6811,63,0.9908350305498982,0.009164969450101833,0.906181177506974,0.8950368879946344,0.891151919866444,0.893090179019575,0.4444444444444444
