protocol,image_count,threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_distance,median_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,5.017255,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5577,5148,0.52,0.48,5.500676155090332,4.927595138549805,0.9089116012192935,0.9207007837713231,0.8559794256322332,0.8871612616614838,0.1216006216006216
standard,10725,5.064686,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5684,5041,0.52997668997669,0.47002331002331005,5.500676155090332,4.927595138549805,0.9065798733286418,0.918724741805119,0.8539232053422371,0.8851395197923426,0.11961912318984329
standard,10725,5.108456,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5791,4934,0.53995337995338,0.46004662004662006,5.500676155090332,4.927595138549805,0.9050250388533932,0.9179039301310044,0.8530844155844156,0.8843079511989903,0.11836238346169436
standard,10725,5.156581,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5899,4826,0.5500233100233101,0.44997668997669,5.500676155090332,4.927595138549805,0.9033734531276487,0.9147582697201018,0.8539192399049881,0.8832923832923832,0.11686697057604642
standard,10725,5.207502,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6006,4719,0.56,0.44,5.500676155090332,4.927595138549805,0.9020979020979021,0.9142268041237114,0.8536773199845976,0.8829151732377539,0.11570247933884298
standard,10725,5.257393,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6113,4612,0.5699766899766899,0.43002331002331,5.500676155090332,4.927595138549805,0.9010305905447407,0.9140782573618395,0.8525206922498119,0.8822269807280514,0.11470078057241978
standard,10725,5.309759,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6220,4505,0.5799533799533799,0.42004662004662,5.500676155090332,4.927595138549805,0.89983922829582,0.9139360442163442,0.8511029411764706,0.8814011041309727,0.11342952275249722
standard,10725,5.366798,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6328,4397,0.59002331002331,0.40997668997668996,5.500676155090332,4.927595138549805,0.8975979772439949,0.9125914516750097,0.8491580078824794,0.8797327394209354,0.11052990675460542
standard,10725,5.424897,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6435,4290,0.6,0.4,5.500676155090332,4.927595138549805,0.8968142968142968,0.9129943502824859,0.8484424221211061,0.8795355587808418,0.10955710955710955
standard,10725,5.477109,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6542,4183,0.60997668997669,0.39002331002331003,5.500676155090332,4.927595138549805,0.8962091103638031,0.9135075450864925,0.848257006151743,0.8796739323055113,0.10877360745876165
