protocol,image_count,confidence_threshold,distance_threshold,baseline_accuracy,baseline_precision,baseline_recall,baseline_f1_score,accepted_image_count,uncertain_image_count,coverage,uncertain_rate,mean_confidence,mean_distance,accepted_accuracy,accepted_precision,accepted_recall,accepted_f1_score,uncertain_error_rate
standard,10725,0.5,4.927595,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5362,5363,0.49995337995337996,0.50004662004662,0.8692758679389954,5.500675201416016,0.9091756807161507,0.9202153695545766,0.852994555353902,0.885330821756534,0.12064143203430916
standard,10725,0.5,5.017255,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5577,5148,0.52,0.48,0.8692758679389954,5.500675201416016,0.9089116012192935,0.9207007837713231,0.8559794256322332,0.8871612616614838,0.1216006216006216
standard,10725,0.5,5.108456,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,5791,4934,0.53995337995338,0.46004662004662006,0.8692758679389954,5.500675201416016,0.9050250388533932,0.9179039301310044,0.8530844155844156,0.8843079511989903,0.11836238346169436
standard,10725,0.5,5.207502,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6006,4719,0.56,0.44,0.8692758679389954,5.500675201416016,0.9020979020979021,0.9142268041237114,0.8536773199845976,0.8829151732377539,0.11570247933884298
standard,10725,0.5,5.309759,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6220,4505,0.5799533799533799,0.42004662004662,0.8692758679389954,5.500675201416016,0.89983922829582,0.9139360442163442,0.8511029411764706,0.8814011041309727,0.11342952275249722
standard,10725,0.5,5.424897,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6435,4290,0.6,0.4,0.8692758679389954,5.500675201416016,0.8968142968142968,0.9129943502824859,0.8484424221211061,0.8795355587808418,0.10955710955710955
standard,10725,0.5,5.527624,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6649,4076,0.61995337995338,0.38004662004662004,0.8692758679389954,5.500675201416016,0.8954730034591668,0.9137184115523466,0.8473384666889856,0.879277401424353,0.1077036310107949
standard,10725,0.5,5.653929,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,6864,3861,0.64,0.36,0.8692758679389954,5.500675201416016,0.8927738927738927,0.9116002795248078,0.8437904269081501,0.8763856231105139,0.10308210308210308
standard,10725,0.5,5.758411,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7078,3647,0.65995337995338,0.34004662004662006,0.8692758679389954,5.500675201416016,0.8914947725346143,0.910199932226364,0.8422703041705863,0.8749185667752443,0.10035645736221552
standard,10725,0.5,5.884311,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7293,3432,0.68,0.32,0.8692758679389954,5.500675201416016,0.889894419306184,0.9083743842364532,0.8407294832826747,0.8732438831886346,0.09644522144522144
standard,10725,0.5,6.005591,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7507,3218,0.6999533799533799,0.30004662004662,0.8692758679389954,5.500675201416016,0.8878380178500067,0.9077608142493638,0.8379330593071052,0.8714503816793893,0.09073958980733375
standard,10725,0.5,6.17135,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7722,3003,0.72,0.28,0.8692758679389954,5.500675201416016,0.8874643874643875,0.9080282989849278,0.838160136286201,0.8716964417540233,0.08824508824508824
standard,10725,0.5,6.368968,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,7936,2789,0.73995337995338,0.26004662004662005,0.8692758679389954,5.500675201416016,0.8870967741935484,0.909036683566955,0.8375927452596867,0.8718535469107551,0.0853352456077447
standard,10725,0.5,6.540107,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8151,2574,0.76,0.24,0.8692758679389954,5.500675201416016,0.8874984664458349,0.9095914227760069,0.8384081196581197,0.8725503822098679,0.0843045843045843
standard,10725,0.5,6.728343,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8365,2360,0.77995337995338,0.22004662004662004,0.8692758679389954,5.500675201416016,0.8877465630603706,0.910061832490163,0.8395125745397978,0.8733648010788941,0.0826271186440678
standard,10725,0.5,6.928348,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8580,2145,0.8,0.2,0.8692758679389954,5.500675201416016,0.889044289044289,0.9116684841875682,0.8418932527693856,0.875392670157068,0.08484848484848485
standard,10725,0.5,7.121525,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,8794,1931,0.8199533799533799,0.18004662004662006,0.8692758679389954,5.500675201416016,0.8899249488287468,0.9127906976744186,0.8440860215053764,0.8770949720670391,0.0859658208182289
standard,10725,0.5,7.364419,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9009,1716,0.84,0.16,0.8692758679389954,5.500675201416016,0.8902208902208902,0.9143589743589744,0.8448235015399195,0.878216968353651,0.0844988344988345
standard,10725,0.5,7.660284,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9223,1502,0.85995337995338,0.14004662004662005,0.8692758679389954,5.500675201416016,0.8902743142144638,0.915068493150685,0.8455696202531645,0.8789473684210526,0.08122503328894808
standard,10725,0.5,7.950739,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9438,1287,0.88,0.12,0.8692758679389954,5.500675201416016,0.8917143462598008,0.9165457184325109,0.848410210479176,0.8811627906976744,0.08702408702408702
standard,10725,0.5,8.338001,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9652,1073,0.89995337995338,0.10004662004662004,0.8692758679389954,5.500675201416016,0.8929755491089929,0.9179086822805772,0.8497590889180903,0.8825201865119982,0.09412861136999068
standard,10725,0.5,8.871479,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,9867,858,0.92,0.08,0.8692758679389954,5.500675201416016,0.8942941116854161,0.9196962724344224,0.852057130675762,0.8845855925639039,0.10606060606060606
standard,10725,0.5,9.581825,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10081,644,0.9399533799533799,0.06004662004662005,0.8692758679389954,5.500675201416016,0.8953476837615316,0.9210408254822791,0.8538157621127054,0.8861551742743067,0.12267080745341614
standard,10725,0.5,10.36114,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10296,429,0.96,0.04,0.8692758679389954,5.500675201416016,0.8947163947163947,0.92148213498015,0.8516102731349368,0.8851694915254237,0.11655011655011654
standard,10725,0.5,13.229531,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10510,215,0.9799533799533799,0.020046620046620046,0.8692758679389954,5.500675201416016,0.8939105613701237,0.9222630101489959,0.8497811380819738,0.884539712125919,0.08837209302325581
standard,10725,0.5,46.826202,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,10724,1,0.9999067599067599,9.324009324009324e-05,0.8692758679389954,5.500675201416016,0.8942558746736292,0.9220945083014048,0.8494117647058823,0.8842620943049602,0.0
standard,10725,0.51,2.907174,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1073,9652,0.10004662004662004,0.89995337995338,0.8692758679389954,5.500675201416016,0.9627213420316869,0.9416666666666667,0.773972602739726,0.849624060150376,0.11334438458350601
standard,10725,0.51,3.045367,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1287,9438,0.12,0.88,0.8692758679389954,5.500675201416016,0.9588189588189588,0.943502824858757,0.7952380952380952,0.8630490956072352,0.11453697817334181
standard,10725,0.51,3.181205,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1502,9223,0.14004662004662005,0.85995337995338,0.8692758679389954,5.500675201416016,0.9527296937416777,0.9475806451612904,0.8020477815699659,0.8687615526802218,0.11525533991109184
standard,10725,0.51,3.310992,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1716,9009,0.16,0.84,0.8692758679389954,5.500675201416016,0.9527972027972028,0.9493670886075949,0.821917808219178,0.8810572687224669,0.11688311688311688
standard,10725,0.51,3.436845,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,1931,8794,0.18004662004662006,0.8199533799533799,0.8692758679389954,5.500675201416016,0.9502848265147592,0.9411764705882353,0.8421052631578947,0.8888888888888888,0.11803502387991813
standard,10725,0.51,3.5478,0.8942657342657343,0.9221110874654181,0.8494412860223486,0.8842857142857142,2145,8580,0.2,0.8,0.8692758679389954,5.500675201416016,0.9491841491841492,0.937246963562753,0.8558225508317929,0.8946859903381642,0.11946386946386946
